0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
MLA904550398,Countries Y Barrios Cerrados Venta Carmelo,80000,USD,2021-06-04T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904550398-countries-y-barrios-cerrados-venta-carmelo-_JM,Uruguay,Colonia,Las Perdices al 100,Carmelo,AR,Argentina,-34.01343,-58.249226,10342 m²,10342.0,m²
MLA904549202,Countries Y Barrios Cerrados Venta Canning,23260,USD,2021-06-04T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904549202-countries-y-barrios-cerrados-venta-canning-_JM,Bs.As. G.B.A. Sur,Esteban Echeverría,Ruta 58 al 100,Canning,AR,Argentina,-34.977848,-58.490025,851 m²,851.0,m²
MLA904550351,Countries Y Barrios Cerrados Venta Canning,23260,USD,2021-06-04T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904550351-countries-y-barrios-cerrados-venta-canning-_JM,Bs.As. G.B.A. Sur,Esteban Echeverría,Ruta 58 al 100,Canning,AR,Argentina,-34.977848,-58.490025,818 m²,818.0,m²
MLA904501645,Excelente Lote En Saint Thomas Este De 1600m2,450000,USD,2021-02-02T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904501645-excelente-lote-en-saint-thomas-este-de-1600m2-_JM,Bs.As. G.B.A. Sur,Esteban Echeverría,Excelente Doble Lote en Saint Thomas Este,Saint Thomas,AR,Argentina,-34.748722,-58.503773,1600 m²,1600.0,m²
MLA904482237,Lote Campos De Roca Ii   2812 M2,25000,USD,2021-03-13T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904482237-lote-campos-de-roca-ii-2812-m2-_JM,Buenos Aires Interior,Brandsen,Autovia 2 km 65 64000,Campos de Roca,AR,Argentina,-35.114525,-58.084717,2812 m²,2812.0,m²
MLA904497958,Lote En Venta En San Sebastian Area 7,37500,USD,2021-04-17T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904497958-lote-en-venta-en-san-sebastian-area-7-_JM,Bs.As. G.B.A. Norte,Escobar,Boote y Luis Tagle,San Sebastián,AR,Argentina,-34.343372,-58.885193,885 m²,885.0,m²
MLA904490492,Terreno - Terralagos,105000,USD,2021-01-23T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904490492-terreno-terralagos-_JM,Bs.As. G.B.A. Sur,Ezeiza,"Mtl.hermoso Lote con Excelente Ubicación, en Barrio Terralagos",,AR,Argentina,-34.90653,-58.516674,960 m²,960.0,m²
MLA904529295,Lote En Venta En San Sebastian Al Agua Y En Area De Cancha De Golf,60000,USD,2021-04-17T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904529295-lote-en-venta-en-san-sebastian-al-agua-y-en-area-de-cancha-de-golf-_JM,Bs.As. G.B.A. Norte,Escobar,Boote y Luis Tagle,San Sebastián,AR,Argentina,-34.343872,-58.8852,923 m²,923.0,m²
MLA904509255,Venta De Lote En La Escondida En Lujan ,55000,USD,2021-02-04T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904509255-venta-de-lote-en-la-escondida-en-lujan-_JM,Buenos Aires Interior,Luján,,Loma Escondida,AR,Argentina,-34.46721,-59.11034,10000 m²,10000.0,m²
MLA904510174,Venta De Lotes En La Escondida En Lujan ,110000,USD,2021-02-04T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904510174-venta-de-lotes-en-la-escondida-en-lujan-_JM,Buenos Aires Interior,Luján,,Loma Escondida,AR,Argentina,-34.46721,-59.11034,20000 m²,20000.0,m²
