0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
MLA904472494,Terreno En Venta En El Mirador,68000,USD,2021-02-18T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904472494-terreno-en-venta-en-el-mirador-_JM,Buenos Aires Interior,Brandsen,,,AR,Argentina,-35.3152,-58.053036,1358 m²,1358.0,m²
MLA904328037,Terreno Usam Pb+5+2 Retiros Habitables,500000,USD,2021-01-31T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904328037-terreno-usam-pb52-retiros-habitables-_JM,Capital Federal,Capital Federal,Fraga 1800,Villa Urquiza,AR,Argentina,-34.58252,-58.467995,259 m²,259.0,m²
MLA904374822,"Finca Habilitada De 56,94 Ha. Sembrada Con 31 Ha De Producción Activa",250000,USD,2021-01-25T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904374822-finca-habilitada-de-5694-ha-sembrada-con-31-ha-de-produccion-activa-_JM,Mendoza,Lavalle,"Provincia de Mendoza, Localidad de Lavalle",,AR,Argentina,-32.607426,-67.570854,0 m²,0.0,m²
MLA904472493,Terreno En Venta En El Mirador,63000,USD,2021-02-18T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904472493-terreno-en-venta-en-el-mirador-_JM,Buenos Aires Interior,Brandsen,,,AR,Argentina,-35.3152,-58.053036,1470 m²,1470.0,m²
MLA904468100,Terreno En Venta En Altos Del Chorro,96000,USD,2021-04-10T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904468100-terreno-en-venta-en-altos-del-chorro-_JM,Uruguay,Maldonado,Pejerreyes al 100,Punta del Este,AR,Argentina,-34.892143,-54.80974,1053 m²,1053.0,m²
MLA904468099,Terreno En Venta En Altos Del Chorro,106000,USD,2021-04-10T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904468099-terreno-en-venta-en-altos-del-chorro-_JM,Uruguay,Maldonado,Pejerreyes al 100,Punta del Este,AR,Argentina,-34.89242,-54.808666,1081 m²,1081.0,m²
MLA904469095,Terreno En Venta En Altos Del Chorro,106000,USD,2021-04-10T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904469095-terreno-en-venta-en-altos-del-chorro-_JM,Uruguay,Maldonado,Pejerreyes al 100,Punta del Este,AR,Argentina,-34.89271,-54.80961,1081 m²,1081.0,m²
MLA904468098,Terreno En Venta En Altos Del Chorro,98000,USD,2021-04-10T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904468098-terreno-en-venta-en-altos-del-chorro-_JM,Uruguay,Maldonado,Pejerreyes al 100,Punta del Este,AR,Argentina,-34.892723,-54.8094,1000 m²,1000.0,m²
MLA904464520,Terreno A La Venta - Altos De Valentina - 702 M2,42000,USD,2021-02-16T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904464520-terreno-a-la-venta-altos-de-valentina-702-m2-_JM,Neuquén,Neuquén,Chivilcoy 8600,Otros Barrios,AR,Argentina,-38.93892,-68.174866,702 m²,702.0,m²
MLA904431496,Venta De Lote En Ezeiza,65000,USD,2021-02-13T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904431496-venta-de-lote-en-ezeiza-_JM,Bs.As. G.B.A. Sur,Ezeiza,Calle Pereda 2b 100,Carlos Spegazzini,AR,Argentina,-34.969704,-58.586235,1550 m²,1550.0,m²
MLA904435347,"Venta Terreno  591 M. Barrio Acacias, Excelente Orientación, Puertos Del Lago, Escobar",69000,USD,2021-01-27T04:00:00.000Z,https://terreno.mercadolibre.com.ar/MLA-904435347-venta-terreno-591-m-barrio-acacias-excelente-orientacion-puertos-del-lago-escobar-_JM,Bs.As. G.B.A. Norte,Escobar,Puertos de Escobar,Puertos del Lago - Acacias,AR,Argentina,-34.35366,-58.73561,591 m²,591.0,m²
